0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/%EB%B0%98%ED%8C%94%EC%85%94%EC%B8%A0_123-000-800_image_3.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/SRN000000003562_image_1.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/SRN000000002230_image_1.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:02 +0900] "GET /saren/ProdImgFile/main/SRN000000004893_image_2.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:07 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:07 +0900] "GET /shoppingmall/member_test/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /shoppingmall/ HTTP/1.1" 200 32021
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /shoppingmall/resources/slick/slick.css HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /shoppingmall/resources/slick/slick-theme.css HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /shoppingmall/resources/slick/slick.min.js HTTP/1.1" 404 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /saren/ProdImgFile/main/SRN000000003562_image_1.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /saren/ProdImgFile/main/SRN000000004893_image_2.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /saren/ProdImgFile/main/SRN000000002230_image_1.jpg HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /saren/ProdImgFile/main/%EB%B0%98%ED%8C%94%EC%85%94%EC%B8%A0_123-000-800_image_1.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /saren/ProdImgFile/main/%EB%B0%98%ED%8C%94%EC%85%94%EC%B8%A0_123-000-800_image_2.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:09 +0900] "GET /saren/ProdImgFile/main/%EB%B0%98%ED%8C%94%EC%85%94%EC%B8%A0_123-000-800_image_3.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:11 +0900] "GET /shoppingmall/member_test/login.do HTTP/1.1" 200 15186
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:12 +0900] "GET /shoppingmall/member_test/findid HTTP/1.1" 200 12648
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:13 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:15 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:56:16 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:37:20 +0900] "POST /shoppingmall/member_test/findid HTTP/1.1" 500 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:37:35 +0900] "POST /shoppingmall/member_test/findid HTTP/1.1" 500 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:38:19 +0900] "POST /shoppingmall/member_test/findid HTTP/1.1" 500 1556
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:38:37 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:39:39 +0900] "GET /shoppingmall/member_test/findid HTTP/1.1" 200 12648
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:39:42 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:42:26 +0900] "POST /shoppingmall/member_test/findid HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:43:45 +0900] "GET /shoppingmall/member_test/findid HTTP/1.1" 200 12630
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:43:49 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:43:55 +0900] "POST /shoppingmall/member_test/findid HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:47:10 +0900] "GET /shoppingmall/member_test/findpassword HTTP/1.1" 200 13421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:47:10 +0900] "GET /shoppingmall/resources/images/phone_icon.png HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:47:10 +0900] "GET /shoppingmall/resources/css/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:14:47:14 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:15:02:01 +0900] "POST /shoppingmall/member_test/findpassword HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [11/Jul/2024:15:02:11 +0900] "POST /shoppingmall/member_test/findpassword HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [11/Jul/2024:15:02:52 +0900] "GET /shoppingmall/member_test/verifypassword?userId=123-000-800 HTTP/1.1" 200 12737
0:0:0:0:0:0:0:1 - - [11/Jul/2024:15:02:56 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
0:0:0:0:0:0:0:1 - - [11/Jul/2024:15:03:15 +0900] "GET /shoppingmall/member_test/verifypassword?userId=123-000-800 HTTP/1.1" 200 12737
0:0:0:0:0:0:0:1 - - [11/Jul/2024:15:03:19 +0900] "POST /shoppingmall/prod/headerctg HTTP/1.1" 200 7599
